Device,Operation,Image Rows,Image Cols,Image FP,NumPixels,Elapsed (ms),Downsize,Speedup,ThreadsPerBlockPerDim,Concat_Name,Scalability
CPU,GRAYSCALE,3088,2316,selfie.png,7151808,121.5761,1,1,1,CPU_GRAYSCALE_1,
CPU,GRAYSCALE,1544,1158,selfie.png,1787952,30.4793,2,1,1,CPU_GRAYSCALE_2,
CPU,GRAYSCALE,772,579,selfie.png,446988,7.535,4,1,1,CPU_GRAYSCALE_4,
CPU,GRAYSCALE,386,289,selfie.png,111554,1.8812,8,1,1,CPU_GRAYSCALE_8,
CPU,GRAYSCALE,193,144,selfie.png,27792,0.487,16,1,1,CPU_GRAYSCALE_16,
CPU,SAUVOLA,3088,2316,selfie.png,7151808,2911,1,1,1,CPU_SAUVOLA_1,
CPU,SAUVOLA,1544,1158,selfie.png,1787952,727.9379,2,1,1,CPU_SAUVOLA_2,
CPU,SAUVOLA,772,579,selfie.png,446988,182.0561,4,1,1,CPU_SAUVOLA_4,
CPU,SAUVOLA,386,289,selfie.png,111554,45.4375,8,1,1,CPU_SAUVOLA_8,
CPU,SAUVOLA,193,144,selfie.png,27792,11.3477,16,1,1,CPU_SAUVOLA_16,
CPU,FLIP,3088,2316,selfie.png,7151808,37.3218,1,1,1,CPU_FLIP_1,
CPU,FLIP,1544,1158,selfie.png,1787952,9.3101,2,1,1,CPU_FLIP_2,
CPU,FLIP,772,579,selfie.png,446988,2.3244,4,1,1,CPU_FLIP_4,
CPU,FLIP,386,289,selfie.png,111554,0.58,8,1,1,CPU_FLIP_8,
CPU,FLIP,193,144,selfie.png,27792,0.1492,16,1,1,CPU_FLIP_16,
CPU,PAD,3088,2316,selfie.png,7151808,94.2916,1,1,1,CPU_PAD_1,
CPU,PAD,1544,1158,selfie.png,1787952,23.3656,2,1,1,CPU_PAD_2,
CPU,PAD,772,579,selfie.png,446988,5.625,4,1,1,CPU_PAD_4,
CPU,PAD,386,289,selfie.png,111554,1.3908,8,1,1,CPU_PAD_8,
CPU,PAD,193,144,selfie.png,27792,0.3511,16,1,1,CPU_PAD_16,
CPU,CCL,3088,2316,selfie.png,7151808,N/A,1,1,1,CPU_CCL_1,
CPU,CCL,1544,1158,selfie.png,1787952,N/A,2,1,1,CPU_CCL_2,
CPU,CCL,772,579,selfie.png,446988,2576.0504,4,1,1,CPU_CCL_4,
CPU,CCL,386,289,selfie.png,111554,308.5432,8,1,1,CPU_CCL_8,
CPU,CCL,193,144,selfie.png,27792,35.9176,16,1,1,CPU_CCL_16,
GPU,GRAYSCALE,3088,2316,selfie.png,7151808,0.3648,1,333.267818,16,GPU_GRAYSCALE_1,34.18777412
GPU,GRAYSCALE,1544,1158,selfie.png,1787952,0.266,2,114.5838346,16,GPU_GRAYSCALE_2,12.55639098
GPU,GRAYSCALE,772,579,selfie.png,446988,0.2206,4,34.15684497,16,GPU_GRAYSCALE_4,4.765639166
GPU,GRAYSCALE,386,289,selfie.png,111554,0.2268,8,8.294532628,16,GPU_GRAYSCALE_8,2.103174603
GPU,GRAYSCALE,193,144,selfie.png,27792,0.2305,16,2.112798265,16,GPU_GRAYSCALE_16,1.422993492
GPU,SAUVOLA,3088,2316,selfie.png,7151808,0.9165,1,3176.213857,16,GPU_SAUVOLA_1,36.17599564
GPU,SAUVOLA,1544,1158,selfie.png,1787952,0.2391,2,3044.491426,16,GPU_SAUVOLA_2,33.15851108
GPU,SAUVOLA,772,579,selfie.png,446988,0.086,4,2116.931395,16,GPU_SAUVOLA_4,32.67093023
GPU,SAUVOLA,386,289,selfie.png,111554,0.0462,8,983.495671,16,GPU_SAUVOLA_8,22.13203463
GPU,SAUVOLA,193,144,selfie.png,27792,0.0365,16,310.8958904,16,GPU_SAUVOLA_16,8.945205479
GPU,FLIP,3088,2316,selfie.png,7151808,0.9835,1,37.94794103,16,GPU_FLIP_1,12.37824098
GPU,FLIP,1544,1158,selfie.png,1787952,0.2351,2,39.60059549,16,GPU_FLIP_2,12.99617184
GPU,FLIP,772,579,selfie.png,446988,0.0588,4,39.53061224,16,GPU_FLIP_4,13.28911565
GPU,FLIP,386,289,selfie.png,111554,0.019,8,30.52631579,16,GPU_FLIP_8,10.83684211
GPU,FLIP,193,144,selfie.png,27792,0.0173,16,8.624277457,16,GPU_FLIP_16,3.641618497
GPU,PAD,3088,2316,selfie.png,7151808,1.1131,1,84.71080765,16,GPU_PAD_1,10.95247507
GPU,PAD,1544,1158,selfie.png,1787952,0.2484,2,94.06441224,16,GPU_PAD_2,12.33816425
GPU,PAD,772,579,selfie.png,446988,0.0605,4,92.97520661,16,GPU_PAD_4,12.99504132
GPU,PAD,386,289,selfie.png,111554,0.0165,8,84.29090909,16,GPU_PAD_8,12.75757576
GPU,PAD,193,144,selfie.png,27792,0.0181,16,19.39779006,16,GPU_PAD_16,3.574585635
GPU,CCL,3088,2316,selfie.png,7151808,652.1721,1,N/A,16,GPU_CCL_1,1.000984709
GPU,CCL,1544,1158,selfie.png,1787952,169.5091,2,N/A,16,GPU_CCL_2,1.01649469
GPU,CCL,772,579,selfie.png,446988,45.7765,4,56.2745164,16,GPU_CCL_4,0.9958319225
GPU,CCL,386,289,selfie.png,111554,13.6928,8,22.53324375,16,GPU_CCL_8,0.9969107852
GPU,CCL,193,144,selfie.png,27792,4.5499,16,7.89415152,16,GPU_CCL_16,1.020989472
GPU,GRAYSCALE,3088,2316,selfie.png,7151808,12.4717,1,9.748157829,1,GPU_GRAYSCALE_1,1
GPU,GRAYSCALE,1544,1158,selfie.png,1787952,3.34,2,9.125538922,1,GPU_GRAYSCALE_2,1
GPU,GRAYSCALE,772,579,selfie.png,446988,1.0513,4,7.167316656,1,GPU_GRAYSCALE_4,1
GPU,GRAYSCALE,386,289,selfie.png,111554,0.477,8,3.943815514,1,GPU_GRAYSCALE_8,1
GPU,GRAYSCALE,193,144,selfie.png,27792,0.328,16,1.484756098,1,GPU_GRAYSCALE_16,1
GPU,SAUVOLA,3088,2316,selfie.png,7151808,33.1553,1,87.79893411,1,GPU_SAUVOLA_1,1
GPU,SAUVOLA,1544,1158,selfie.png,1787952,7.9282,2,91.81628869,1,GPU_SAUVOLA_2,1
GPU,SAUVOLA,772,579,selfie.png,446988,2.8097,4,64.79556536,1,GPU_SAUVOLA_4,1
GPU,SAUVOLA,386,289,selfie.png,111554,1.0225,8,44.43765281,1,GPU_SAUVOLA_8,1
GPU,SAUVOLA,193,144,selfie.png,27792,0.3265,16,34.75558959,1,GPU_SAUVOLA_16,1
GPU,FLIP,3088,2316,selfie.png,7151808,12.174,1,3.065697388,1,GPU_FLIP_1,1
GPU,FLIP,1544,1158,selfie.png,1787952,3.0554,2,3.047096943,1,GPU_FLIP_2,1
GPU,FLIP,772,579,selfie.png,446988,0.7814,4,2.974660865,1,GPU_FLIP_4,1
GPU,FLIP,386,289,selfie.png,111554,0.2059,8,2.816901408,1,GPU_FLIP_8,1
GPU,FLIP,193,144,selfie.png,27792,0.063,16,2.368253968,1,GPU_FLIP_16,1
GPU,PAD,3088,2316,selfie.png,7151808,12.1912,1,7.734398583,1,GPU_PAD_1,1
GPU,PAD,1544,1158,selfie.png,1787952,3.0648,2,7.623858001,1,GPU_PAD_2,1
GPU,PAD,772,579,selfie.png,446988,0.7862,4,7.154668023,1,GPU_PAD_4,1
GPU,PAD,386,289,selfie.png,111554,0.2105,8,6.607125891,1,GPU_PAD_8,1
GPU,PAD,193,144,selfie.png,27792,0.0647,16,5.426584235,1,GPU_PAD_16,1
GPU,CCL,3088,2316,selfie.png,7151808,652.8143,1,N/A,1,GPU_CCL_1,1
GPU,CCL,1544,1158,selfie.png,1787952,172.3051,2,N/A,1,GPU_CCL_2,1
GPU,CCL,772,579,selfie.png,446988,45.5857,4,56.51005469,1,GPU_CCL_4,1
GPU,CCL,386,289,selfie.png,111554,13.6505,8,22.60306948,1,GPU_CCL_8,1
GPU,CCL,193,144,selfie.png,27792,4.6454,16,7.731863779,1,GPU_CCL_16,1